display_name,gpt-4o,claude-3-5-sonnet-20241022,grok-2-1212,gemini-2.0-flash-exp,llama-3.1-nemotron-70b-instruct,majority_vote,confidence,in_model
Flyback converter,7,7,7,7,7,7,1.0,True
Microbial genetics,2,2,2,2,2,2,1.0,True
Proton NMR,4,4,4,4,4,4,1.0,True
Tunable diode laser absorption spectroscopy,16,16,16,16,16,16,1.0,True
Borel summation,13,13,13,13,13,13,1.0,True
Histamine H1 receptor,14,14,14,14,14,14,1.0,True
Switched capacitor,7,7,7,7,7,7,1.0,True
Interaural time difference,18,16,18,16,16,16,0.6,True
Submarine volcano,10,10,10,10,10,10,1.0,True
Intersection number,13,13,13,13,13,13,1.0,True
Security information and event management,5,5,5,5,5,5,1.0,True
Neuroanatomy,14,2,14,14,2,14,0.6,True
General equilibrium theory,6,6,6,6,6,6,1.0,True
Enteroendocrine cell,14,2,2,2,2,2,0.8,True
Prediction interval,13,13,13,13,13,13,1.0,True
Site-directed mutagenesis,2,2,2,2,2,2,1.0,True
Correlation ratio,13,13,13,13,13,13,1.0,True
Competitive intelligence,3,3,3,3,3,3,1.0,True
Transketolase,4,2,2,2,2,2,0.8,True
Cognitive science of religion,18,18,18,18,18,18,1.0,True
Heterochromatin,2,2,2,2,2,2,1.0,True
Wave shoaling,16,16,16,16,16,16,1.0,True
Propulsion,7,7,7,7,7,7,1.0,True
Score test,13,13,13,13,13,13,1.0,True
Hindsight bias,18,18,18,18,18,18,1.0,True
Elixir (programming language),5,5,5,5,5,5,1.0,True
Immune receptor,2,2,2,2,2,2,1.0,True
Coral bleaching,8,8,8,8,8,8,1.0,True
HSPA12A,14,2,2,2,2,2,0.8,True
Isometric exercise,14,14,14,14,14,14,1.0,True
Alcohol tolerance,14,14,14,14,14,14,1.0,True
Static VAR compensator,7,7,7,7,7,7,1.0,True
Linear range,13,7,13,13,16,13,0.6,True
Job shadow,3,3,3,3,3,3,1.0,True
Software mining,5,5,5,5,5,5,1.0,True
Fission products,16,16,16,16,16,16,1.0,True
Beta-Hydride elimination,4,4,4,4,4,4,1.0,True
Neuroanatomy of memory,14,2,14,14,18,14,0.6,True
Best linear unbiased prediction,13,13,13,13,13,13,1.0,True
Harm principle,15,15,15,15,15,15,1.0,True
Specificity factor,2,2,2,2,14,2,0.8,True
Savings account,3,6,6,6,3,6,0.6,True
Subthreshold slope,7,7,7,7,7,7,1.0,True
Free trade zone,6,6,6,6,6,6,1.0,True
A* search algorithm,5,5,5,5,5,5,1.0,True
Pneumatic flow control,7,7,7,7,7,7,1.0,True
Entity–relationship model,5,5,5,5,5,5,1.0,True
Neural fold,2,2,2,2,2,2,1.0,True
Stateless protocol,5,5,5,5,5,5,1.0,True
Vietnamese,9,11,9,11,9,9,0.6,True
Nest box,2,8,2,2,8,2,0.6,True
N = 4 supersymmetric Yang–Mills theory,16,16,16,16,16,16,1.0,True
Sci-Fi,1,1,1,1,1,1,1.0,True
Drug repositioning,14,14,14,14,14,14,1.0,True
Exponential type,13,13,13,13,13,13,1.0,True
Page view,5,5,5,5,5,5,1.0,True
Covering problems,13,13,13,13,13,13,1.0,True
News analytics,5,5,3,5,5,5,0.8,True
Homeobox A1,2,2,2,2,2,2,1.0,True
Information ratio,3,3,6,6,3,3,0.6,True
Embodied agent,5,5,5,5,5,5,1.0,True
Scattering cross-section,16,16,16,16,16,16,1.0,True
Unitized regenerative fuel cell,7,7,7,7,7,7,1.0,True
Semantic grid,5,5,5,5,5,5,1.0,True
Covariance operator,13,13,13,13,13,13,1.0,True
Gasoline,4,4,4,4,4,4,1.0,True
Virtual screening,4,5,5,4,4,4,0.6,True
Psychopharmacology,14,14,14,14,14,14,1.0,True
Earthquake engineering,7,7,7,7,7,7,1.0,True
Parthenogenesis,2,2,2,2,2,2,1.0,True
Sociology of the family,19,19,19,19,19,19,1.0,True
Bayley Scales of Infant Development,18,18,18,18,18,18,1.0,True
PESQ,5,7,7,7,5,7,0.6,True
Field extension,13,13,13,13,13,13,1.0,True
Air conditioning,7,7,7,7,7,7,1.0,True
Base change,13,13,13,13,13,13,1.0,True
Vacuum tube,7,7,7,7,7,7,1.0,True
Split-radix FFT algorithm,5,5,5,5,5,5,1.0,True
Backhaul (telecommunications),7,7,7,7,7,7,1.0,True
Standard solar model,16,16,16,16,16,16,1.0,True
Autofocus,7,7,7,7,7,7,1.0,True
Yang–Mills theory,16,16,16,16,16,16,1.0,True
Superconducting tunnel junction,16,16,16,16,16,16,1.0,True
Carrying capacity,8,8,8,8,8,8,1.0,True
Point source,8,16,16,16,8,16,0.6,True
Cumulative distribution function,13,13,13,13,13,13,1.0,True
Canon,1,1,1,11,15,1,0.6,True
Protoplasm,2,2,2,2,2,2,1.0,True
Erg,16,9,10,16,16,16,0.6,True
Domestic sheep reproduction,2,2,2,2,2,2,1.0,True
Lymphotoxin alpha,14,2,2,2,2,2,0.8,True
Time domain,16,7,16,16,16,16,0.8,True
Spin magnetic moment,16,16,16,16,16,16,1.0,True
Electrical phenomena,16,16,16,16,16,16,1.0,True
Transonic,7,16,16,16,7,16,0.6,True
Optical physics,16,16,16,16,16,16,1.0,True
Phase shift module,7,7,7,7,7,7,1.0,True
Hubble's law,16,16,16,16,16,16,1.0,True
Sf9,2,2,2,2,2,2,1.0,True
Mental age,18,18,18,18,18,18,1.0,True
Lin–Kernighan heuristic,5,5,5,5,5,5,1.0,True
Spaceflight,7,7,7,7,7,7,1.0,True
Serotype,2,2,2,2,2,2,1.0,True
Spline (mechanical),7,7,7,7,7,7,1.0,True
Analyte,4,4,4,4,4,4,1.0,True
Video quality,5,5,5,5,5,5,1.0,True
Plucking,10,1,10,2,16,10,0.4,True
Meteoroid,16,16,16,16,16,16,1.0,True
DFT matrix,13,13,13,13,13,13,1.0,True
Solar rotation,16,16,16,16,16,16,1.0,True
Regular conditional probability,13,13,13,13,13,13,1.0,True
Network interface,5,5,5,5,5,5,1.0,True
Perfect number,13,13,13,13,13,13,1.0,True
Joint-stock company,3,3,3,6,3,3,0.8,True
Neutron scattering,16,16,16,16,16,16,1.0,True
Multilateration,7,7,7,7,7,7,1.0,True
Canopy clustering algorithm,5,5,5,5,5,5,1.0,True
Cohesion (chemistry),4,4,4,4,4,4,1.0,True
Space exploration,7,7,7,7,7,7,1.0,True
Extremal black hole,16,16,16,16,16,16,1.0,True
Geometric modeling,5,5,5,5,5,5,1.0,True
Deterministic finite automaton,5,5,5,5,5,5,1.0,True
Geostationary Operational Environmental Satellite,8,8,8,7,8,8,0.8,True
Ring oscillator,7,7,7,7,7,7,1.0,True
Motion (physics),16,16,16,16,16,16,1.0,True
Geosynthetic clay liner,12,7,8,7,7,7,0.6,True
Network model,5,5,5,5,5,5,1.0,True
Directional sound,7,16,16,16,16,16,0.8,True
Row and column spaces,13,13,13,13,13,13,1.0,True
Physis,15,15,15,15,15,15,1.0,True
Emigration,9,19,19,9,19,19,0.6,True
Seed crystal,4,12,12,4,4,4,0.6,True
Decomposer,2,2,2,2,2,2,1.0,True
Macrophage migration inhibitory factor,14,2,14,14,2,14,0.6,True
Study skills,18,18,18,18,18,18,1.0,True
AND gate,5,5,5,5,5,5,1.0,True
Cell-free system,2,2,2,2,2,2,1.0,True
Eddy diffusion,16,16,16,16,16,16,1.0,True
Additive genetic effects,2,2,2,2,2,2,1.0,True
P70-S6 Kinase 1,2,2,2,2,2,2,1.0,True
Noxious stimulus,14,14,14,14,14,14,1.0,True
Flux pumping,16,16,16,16,16,16,1.0,True
Charge carrier,16,16,16,16,16,16,1.0,True
Principal quantum number,16,16,16,16,16,16,1.0,True
Aperiodic graph,13,13,13,13,13,13,1.0,True
Environmental graphic design,1,1,1,1,1,1,1.0,True
Companding,7,7,7,7,7,7,1.0,True
Isopropyl,4,4,4,4,4,4,1.0,True
Signal processing,7,7,7,7,7,7,1.0,True
Modal analysis,7,7,7,7,7,7,1.0,True
Microchannel plate detector,16,16,16,16,16,16,1.0,True
Protein subunit,2,2,2,2,2,2,1.0,True
Imaging phantom,14,14,14,14,14,14,1.0,True
Durability,12,12,12,12,7,12,0.8,True
Cabin pressurization,7,7,7,7,7,7,1.0,True
Corpus allatum,2,2,2,14,2,2,0.8,True
Classification rule,5,5,5,5,5,5,1.0,True
Gaussian blur,5,5,5,5,5,5,1.0,True
Digital image processing,5,5,5,5,5,5,1.0,True
Gene,2,2,2,2,2,2,1.0,True
Learning effect,3,18,18,18,18,18,0.8,True
Figure–ground,18,18,18,18,18,18,1.0,True
GUS reporter system,2,2,2,2,2,2,1.0,True
Quasi-open map,13,13,13,13,13,13,1.0,True
Silicon photomultiplier,7,16,16,16,16,16,0.8,True
Cladogenesis,2,2,2,2,2,2,1.0,True
GIS and public health,9,14,9,9,9,9,0.8,True
Web log analysis software,5,5,5,5,5,5,1.0,True
Collateralized mortgage obligation,3,6,6,6,6,6,0.8,True
First class constraint,16,16,16,5,13,16,0.6,True
Niche construction,2,2,2,2,2,2,1.0,True
Ameloblast,2,2,2,2,2,2,1.0,True
Electrical conduction system of the heart,14,14,14,14,14,14,1.0,True
Proteome,2,2,2,2,2,2,1.0,True
Homoscedasticity,13,13,13,13,13,13,1.0,True
Propagator,16,5,16,16,16,16,0.8,True
Johnson–Nyquist noise,16,16,16,16,16,16,1.0,True
Biopanning,2,2,2,2,2,2,1.0,True
Photon entanglement,16,16,16,16,16,16,1.0,True
Nucleotide excision repair,2,2,2,2,2,2,1.0,True
Clinical pharmacy,14,14,14,14,14,14,1.0,True
Centrosome,2,2,2,2,2,2,1.0,True
Oncotic pressure,14,14,14,14,14,14,1.0,True
Digital soil mapping,8,9,9,9,9,9,0.8,True
SR protein,2,2,2,2,2,2,1.0,True
Bioassay,2,2,2,2,2,2,1.0,True
Optimal discriminant analysis,13,14,13,13,13,13,0.8,True
Ad hoc On-Demand Distance Vector Routing,5,5,5,5,5,5,1.0,True
Displaced person,17,19,19,19,19,19,0.8,True
Configuration design,7,7,7,7,7,7,1.0,True
Triangular matrix,13,13,13,13,13,13,1.0,True
Multispectral pattern recognition,5,5,5,5,5,5,1.0,True
Demotion,3,3,3,3,3,3,1.0,True
Phosphorylation cascade,2,2,2,2,2,2,1.0,True
Langlands–Shahidi method,13,13,13,13,13,13,1.0,True
Byzantine architecture,1,1,1,1,1,1,1.0,True
Anaerobic oxidation of methane,8,8,8,8,8,8,1.0,True
Automatic identification and data capture,5,5,5,5,5,5,1.0,True
Symplectic representation,13,13,13,13,13,13,1.0,True
Color-coding,5,1,5,5,5,5,0.8,True
CDC37,2,2,2,2,2,2,1.0,True
Sonication,4,7,4,16,4,4,0.6,True
Ethnohistory,11,11,11,11,11,11,1.0,True
GSK3B,14,2,2,2,2,2,0.8,True
Free Exercise Clause,17,17,17,17,17,17,1.0,True
Autotroph,2,2,2,2,2,2,1.0,True
PSL,13,5,5,16,3,5,0.4,True
Card reader,5,5,5,5,5,5,1.0,True
Timing failure,5,5,5,7,7,5,0.6,True
Visible spectrum,16,16,16,16,16,16,1.0,True
Microtubule organizing center,2,2,2,2,2,2,1.0,True
Fuzzy sphere,16,13,16,13,13,13,0.6,True
Control of chromosome duplication,2,2,2,2,2,2,1.0,True
Norm of reciprocity,19,19,19,19,18,19,0.8,True
Stand-alone power system,7,7,7,7,7,7,1.0,True
Intraclass correlation,13,13,13,13,13,13,1.0,True
Wheatstone bridge,7,7,16,16,7,7,0.6,True
Solar mirror,7,8,7,7,7,7,0.8,True
Biological pest control,2,2,2,8,8,2,0.6,True
Firn,10,10,10,10,10,10,1.0,True
Minimum ignition energy,4,7,16,16,16,16,0.6,True
Quadratic algebra,13,13,13,13,13,13,1.0,True
Hamiltonian path problem,5,5,5,5,5,5,1.0,True
Technological evolution,7,11,7,7,7,7,0.8,True
Neuroendocrinology,14,2,14,14,14,14,0.8,True
Time shifting,5,5,5,5,5,5,1.0,True
Definite quadratic form,13,13,13,13,13,13,1.0,True
Generalized integer gamma distribution,13,13,13,13,13,13,1.0,True
Composite number,13,13,13,13,13,13,1.0,True
7-Dehydrocholesterol reductase,2,2,2,4,2,2,0.8,True
Steelmaking,12,7,7,7,7,7,0.8,True
Autolysis (biology),2,2,2,2,2,2,1.0,True
Vinyl polymer,4,4,12,4,12,4,0.6,True
Colloidal gold,4,12,4,4,4,4,0.8,True
Girsanov theorem,13,13,13,13,13,13,1.0,True
Neprilysin,14,2,2,14,14,14,0.6,True
Angiotensin receptor,14,14,14,14,2,14,0.8,True
Hyperparameter optimization,5,5,5,5,5,5,1.0,True
Group conflict,19,19,19,19,18,19,0.8,True
Finite difference methods for option pricing,6,13,13,13,13,13,0.8,True
Supplier relationship management,3,3,3,3,3,3,1.0,True
Topological defect,16,16,16,16,16,16,1.0,True
Pharmacy,14,14,14,14,14,14,1.0,True
Sedimentology,10,10,10,10,10,10,1.0,True
Nitrosation,4,4,4,4,4,4,1.0,True
Low frequency,16,16,16,16,16,16,1.0,True
Eigenface,5,5,5,5,5,5,1.0,True
Glacier morphology,10,10,10,10,10,10,1.0,True
X-ray magnetic circular dichroism,16,16,16,16,16,16,1.0,True
Subwavelength-diameter optical fibre,7,7,16,16,16,16,0.6,True
Truncation error,13,13,13,13,5,13,0.8,True
Proximal Gradient Methods,13,13,13,13,5,13,0.8,True
Rate of return on a portfolio,3,6,6,6,3,6,0.6,True
Hoare logic,5,5,5,5,5,5,1.0,True
HMG-CoA reductase,14,2,14,2,2,2,0.6,True
Routing protocol,5,5,5,5,5,5,1.0,True
Breeding program,2,2,2,2,2,2,1.0,True
Silicic,10,4,10,10,10,10,0.8,True
Cholinergic neuron,2,2,2,2,2,2,1.0,True
Orbital-free density functional theory,16,16,16,16,16,16,1.0,True
Race and health,14,14,19,14,14,14,0.8,True
Fluid compartments,14,2,14,14,14,14,0.8,True
Alternative energy,8,8,8,7,8,8,0.8,True
Hessian form of an elliptic curve,13,13,13,13,13,13,1.0,True
Insula,14,14,14,14,18,14,0.8,True
Cultural globalization,19,19,19,19,19,19,1.0,True
Subject-matter expert,3,19,3,19,3,3,0.6,True
Deflagration to detonation transition,16,16,16,16,16,16,1.0,True
Semiclassical gravity,16,16,16,16,16,16,1.0,True
Measures of conditioned emotional response,18,18,18,18,18,18,1.0,True
Random walker algorithm,5,5,5,5,5,5,1.0,True
Mean difference,13,13,13,13,13,13,1.0,True
Scientific theory,15,15,15,15,15,15,1.0,True
Trace distance,13,13,13,13,16,13,0.8,True
HACEK endocarditis,14,14,14,14,14,14,1.0,True
Electron capture,16,16,16,16,16,16,1.0,True
Shallow trench isolation,7,7,7,7,7,7,1.0,True
Divine grace,15,15,15,15,15,15,1.0,True
Population bottleneck,2,2,2,2,2,2,1.0,True
Sequence logo,2,2,2,2,5,2,0.8,True
Sexual dimorphism,2,2,2,2,2,2,1.0,True
Dynamo theory,16,16,16,16,16,16,1.0,True
Emblem,1,1,1,11,1,1,0.8,True
Data security,5,5,5,5,5,5,1.0,True
Garbage collection,5,5,5,5,5,5,1.0,True
Statistical signal processing,13,7,7,7,7,7,0.8,True
Augmented matrix,13,13,13,13,13,13,1.0,True
Pseudoknot,2,2,2,2,2,2,1.0,True
Fundamental frequency,16,16,16,16,16,16,1.0,True
LOCC,16,14,16,16,16,16,0.8,True
Call to action,3,3,3,3,3,3,1.0,True
Chirp spread spectrum,7,7,7,7,7,7,1.0,True
German literature,1,1,1,11,11,1,0.6,True
Survival analysis,13,13,14,14,13,13,0.6,True
Lightning arrester,7,7,7,7,7,7,1.0,True
Printmaking,1,1,1,1,1,1,1.0,True
Electron beam processing,7,7,16,7,7,7,0.8,True
Globular protein,2,2,2,2,2,2,1.0,True
Refinery,7,7,7,7,7,7,1.0,True
Comparative genomics,2,2,2,2,2,2,1.0,True
Clinker (cement),12,12,12,12,12,12,1.0,True
Transcription factor II B,2,2,2,2,2,2,1.0,True
Pinch point,7,7,7,7,7,7,1.0,True
HAMP domain,2,2,2,2,2,2,1.0,True
Keystone species,2,2,2,8,2,2,0.8,True
Binomial options pricing model,3,6,6,6,6,6,0.8,True
Thermodynamic process,16,16,16,16,16,16,1.0,True
Tetrahedron,13,13,13,13,13,13,1.0,True
Inverse element,13,13,13,13,13,13,1.0,True
Molecular sieve,4,12,12,4,4,4,0.6,True
Canonical normal form,13,5,5,13,5,5,0.6,True
Pillar,11,7,7,7,7,7,0.8,True
Categorical quantum mechanics,16,13,16,13,16,16,0.6,True
Folklore,11,19,19,19,11,19,0.6,True
Fragment molecular orbital,4,4,4,4,4,4,1.0,True
Comb filter,7,7,7,7,16,7,0.8,True
Storm,9,9,9,9,8,9,0.8,True
Dual polyhedron,13,13,13,13,13,13,1.0,True
Supermultiplet,16,16,16,16,16,16,1.0,True
Name server,5,5,5,5,5,5,1.0,True
Key space,5,5,5,5,5,5,1.0,True
Dynamic positioning,7,7,7,7,7,7,1.0,True
System of polynomial equations,13,13,13,13,13,13,1.0,True
Software deployment,5,5,5,5,5,5,1.0,True
Suspension (topology),13,13,13,13,13,13,1.0,True
Spread spectrum,7,7,7,7,7,7,1.0,True
Citation analysis,19,5,5,19,11,5,0.4,True
One-way function,5,5,5,5,5,5,1.0,True
Carbon dioxide equivalent,8,8,8,8,8,8,1.0,True
Superlattice,12,12,12,12,12,12,1.0,True
Bookkeeping,3,3,3,3,3,3,1.0,True
Middle lamella,2,2,2,2,2,2,1.0,True
Human intelligence,18,18,18,18,18,18,1.0,True
Hypocotyl,2,2,2,2,2,2,1.0,True
Discretization of continuous features,5,5,5,5,5,5,1.0,True
Metrization theorem,13,13,13,13,13,13,1.0,True
Feed-in tariff,6,6,6,6,6,6,1.0,True
K-optimal pattern discovery,5,5,5,5,5,5,1.0,True
Legacy system,5,5,5,5,5,5,1.0,True
Voucher,3,3,3,6,3,3,0.8,True
Nutrient management,8,8,8,8,8,8,1.0,True
Binary function,13,13,13,13,13,13,1.0,True
Mudflow,10,10,10,10,10,10,1.0,True
Nodal analysis,7,7,7,7,7,7,1.0,True
Magnetic tweezers,16,16,16,16,16,16,1.0,True
Price mechanism,6,6,6,6,6,6,1.0,True
Photolithography,7,7,7,7,7,7,1.0,True
Tectonic phase,10,10,10,10,10,10,1.0,True
Stellar black hole,16,16,16,16,16,16,1.0,True
Planar projection,13,13,9,13,13,13,0.8,True
Normal subgroup,13,13,13,13,13,13,1.0,True
Data pre-processing,5,5,5,5,5,5,1.0,True
Methanizer,4,4,4,7,4,4,0.8,True
Modern valence bond theory,4,4,4,4,4,4,1.0,True
Middle Eastern Mental Health Issues & Syndromes,14,18,18,18,18,18,0.8,True
Theta function,13,13,13,13,13,13,1.0,True
Affine connection,13,13,13,13,13,13,1.0,True
Gene prediction,2,2,2,2,2,2,1.0,True
Porous medium,12,12,10,7,7,12,0.4,True
Neurovascular bundle,14,14,14,14,14,14,1.0,True
Messenger RNA,2,2,2,2,2,2,1.0,True
Ion acoustic wave,16,16,16,16,16,16,1.0,True
Smart grid,7,7,7,7,7,7,1.0,True
Integrated geography,9,9,9,9,9,9,1.0,True
Phallic stage,18,18,18,18,18,18,1.0,True
Dichroism,16,16,16,16,16,16,1.0,True
Proof complexity,5,5,13,5,13,5,0.6,True
Spectral clustering,13,5,5,5,5,5,0.8,True
Evolutionary medicine,14,14,14,14,14,14,1.0,True
Artificial seawater,4,4,4,4,4,4,1.0,True
Dosimeter,16,16,16,16,16,16,1.0,True
Drivetrain,7,7,7,7,7,7,1.0,True
Economic policy,6,6,6,6,6,6,1.0,True
Verbal memory,18,18,18,18,18,18,1.0,True
Ordered geometry,13,13,13,13,13,13,1.0,True
Clinical neuropsychology,14,18,18,18,18,18,0.8,True
Matrix differential equation,13,13,13,13,13,13,1.0,True
Earth's internal heat budget,10,10,10,10,10,10,1.0,True
Nuclear matrix,2,2,16,2,2,2,0.8,True
Cell cycle checkpoint,2,2,2,2,2,2,1.0,True
Mind-blindness,18,18,18,18,18,18,1.0,True
Blunt,1,1,14,14,14,14,0.6,True
Anatomy,2,2,2,2,2,2,1.0,True
Dance improvisation,1,1,1,1,1,1,1.0,True
Fixed-point property,13,13,13,13,13,13,1.0,True
Reaction intermediate,4,4,4,4,4,4,1.0,True
Likert scale,18,18,18,18,18,18,1.0,True
STED microscopy,2,16,16,16,16,16,0.8,True
Zipper,7,7,7,7,7,7,1.0,True
Rorschach test,18,18,18,18,18,18,1.0,True
Tn3 transposon,2,2,2,2,2,2,1.0,True
Walsh diagram,4,4,4,4,16,4,0.8,True
Statistics,13,13,13,13,13,13,1.0,True
Debye sheath,16,16,16,16,16,16,1.0,True
Generalized coordinates,16,16,16,16,16,16,1.0,True
Thermocline,8,8,8,8,8,8,1.0,True
Visual communication,1,1,1,1,1,1,1.0,True
Hypolimnion,8,8,8,8,8,8,1.0,True
Contingency management,18,18,18,18,18,18,1.0,True
Air cooling,7,7,7,7,7,7,1.0,True
Colonisation,11,11,11,11,11,11,1.0,True
Source document,11,5,3,11,3,11,0.4,True
Involute,13,13,13,13,7,13,0.8,True
Steppe,9,9,9,9,9,9,1.0,True
Enterprise architecture,3,3,3,7,7,3,0.6,True
Exome,2,2,2,2,2,2,1.0,True
Tolerance interval,13,13,13,13,13,13,1.0,True
Evolutionary computation,5,5,5,5,5,5,1.0,True
Server farm,5,5,5,5,5,5,1.0,True
Primary nursing,14,14,14,14,14,14,1.0,True
Airway,14,14,14,14,14,14,1.0,True
Combustion,4,4,4,4,4,4,1.0,True
LS-DYNA,7,7,7,7,7,7,1.0,True
Subshift of finite type,13,13,13,13,13,13,1.0,True
International Standard Industrial Classification,3,6,3,6,3,3,0.6,True
Loss function,5,13,5,13,5,5,0.6,True
Code-excited linear prediction,5,7,5,7,5,5,0.6,True
Forwarding plane,5,5,5,5,5,5,1.0,True
Stipe (mycology),2,2,2,2,2,2,1.0,True
Waste heat recovery unit,7,7,7,7,7,7,1.0,True
Vortex-induced vibration,7,16,7,7,7,7,0.8,True
Video compression picture types,5,5,5,5,5,5,1.0,True
Octet,5,5,5,5,4,5,0.8,True
Ambidexterity,18,2,18,18,18,18,0.8,True
Helioseismology,16,16,16,16,16,16,1.0,True
Pi bond,4,4,4,4,4,4,1.0,True
Quinhydrone electrode,4,4,4,4,4,4,1.0,True
Hubbard model,16,16,16,16,16,16,1.0,True
Natural monopoly,6,6,6,6,6,6,1.0,True
Chamber music,1,1,1,1,1,1,1.0,True
Space Shuttle,7,7,7,7,7,7,1.0,True
Environmental control system,7,7,7,7,7,7,1.0,True
Filter (signal processing),7,7,7,7,7,7,1.0,True
Random subspace method,5,5,5,5,5,5,1.0,True
K3 surface,13,13,13,13,13,13,1.0,True
Muon collider,16,16,16,16,16,16,1.0,True
Random testing,5,5,5,5,5,5,1.0,True
Financial economics,6,6,6,6,6,6,1.0,True
Weighted average return on assets,3,3,6,3,3,3,0.8,True
Dead reckoning,9,7,7,7,7,7,0.8,True
Cognitively Guided Instruction,13,18,18,18,18,18,0.8,True
Combustion chamber,7,7,7,7,7,7,1.0,True
Pharmaceutical formulation,14,14,14,14,14,14,1.0,True
Markov decision process,5,5,5,5,5,5,1.0,True
Hay,2,2,2,2,2,2,1.0,True
Herd immunity,14,14,14,14,14,14,1.0,True
Collinearity,13,13,13,13,13,13,1.0,True
Truncation (statistics),13,13,13,13,13,13,1.0,True
Business operations,3,3,3,3,3,3,1.0,True
Fibula,14,14,14,14,2,14,0.8,True
Genome-wide association study,2,2,2,2,2,2,1.0,True
Debt-to-GDP ratio,6,6,6,6,6,6,1.0,True
Well-posed problem,13,13,13,13,13,13,1.0,True
Containment building,7,7,7,7,7,7,1.0,True
Voltage doubler,7,7,7,7,7,7,1.0,True
Gluon field,16,16,16,16,16,16,1.0,True
Iterative design,7,7,7,7,7,7,1.0,True
Vertical-cavity surface-emitting laser,7,7,16,7,16,7,0.6,True
Porting,5,5,5,5,5,5,1.0,True
C-type lectin,2,2,2,2,2,2,1.0,True
Split-ticket voting,17,17,17,17,17,17,1.0,True
R-tree,5,5,5,5,5,5,1.0,True
Orthogonal polynomials,13,13,13,13,13,13,1.0,True
Truncation selection,2,2,2,2,2,2,1.0,True
Therapeutic gene modulation,14,14,14,14,14,14,1.0,True
Matroid,13,13,13,13,13,13,1.0,True
Ion trap,16,16,16,16,16,16,1.0,True
Entropy (arrow of time),16,16,16,16,16,16,1.0,True
Fumarase,4,2,2,2,2,2,0.8,True
Erosion corrosion,12,12,12,7,7,12,0.6,True
Gas pycnometer,12,12,16,16,4,12,0.4,True
Futures contract,3,6,6,6,3,6,0.6,True
Tape measure,7,7,7,7,7,7,1.0,True
Extended family,19,19,19,19,19,19,1.0,True
Orbital inclination,16,16,16,16,16,16,1.0,True
Illumina dye sequencing,2,2,2,2,2,2,1.0,True
Equating,13,13,13,13,13,13,1.0,True
Infectivity,14,2,2,14,2,2,0.6,True
SOCS5,2,2,2,2,2,2,1.0,True
Radio access network,7,7,7,7,7,7,1.0,True
Fisher transformation,13,13,13,13,13,13,1.0,True
Neoteny,2,2,2,2,2,2,1.0,True
Semisimple module,13,13,13,13,13,13,1.0,True
Snowball sampling,19,19,19,19,19,19,1.0,True
Homogeneous coordinates,13,13,13,13,13,13,1.0,True
Neuropilin,2,2,2,2,2,2,1.0,True
Image restoration,5,5,5,5,5,5,1.0,True
Education,19,19,19,19,18,19,0.8,True
Amelogenin,2,2,2,2,2,2,1.0,True
Isotopes of neon,4,4,4,4,4,4,1.0,True
Quality assurance,3,3,3,7,3,3,0.8,True
Energy transfer,16,16,16,16,16,16,1.0,True
Dialogical self,18,18,18,18,18,18,1.0,True
2-opt,5,5,5,5,5,5,1.0,True
Public health informatics,14,14,14,5,5,14,0.6,True
Monte Carlo localization,5,5,5,5,5,5,1.0,True
Cheap talk,6,6,6,6,6,6,1.0,True
Kraft process,4,7,4,7,4,4,0.6,True
Matrix (chemical analysis),4,4,4,4,4,4,1.0,True
Classical electromagnetism,16,16,16,16,16,16,1.0,True
Mohs scale of mineral hardness,10,10,10,10,10,10,1.0,True
Parallel processing,5,5,5,5,5,5,1.0,True
Algorithm design,5,5,5,5,5,5,1.0,True
Participatory management,3,3,3,3,3,3,1.0,True
Building management system,7,7,7,7,7,7,1.0,True
Block cipher,5,5,5,5,5,5,1.0,True
Time evolution,16,16,16,16,16,16,1.0,True
T1 space,13,13,13,13,13,13,1.0,True
Selective chemistry of single-walled nanotubes,4,4,12,4,12,4,0.6,True
Electronic differential,7,7,7,7,7,7,1.0,True
Diagrammatic reasoning,15,5,15,15,13,15,0.6,True
Steering linkage,7,7,7,7,7,7,1.0,True
Laurent polynomial,13,13,13,13,13,13,1.0,True
FGF21,2,2,2,2,2,2,1.0,True
Markov kernel,13,13,13,13,13,13,1.0,True
Glycomics,2,2,2,4,2,2,0.8,True
Nursing Minimum Data Set,14,14,14,14,14,14,1.0,True
Magnetic lens,16,16,16,16,16,16,1.0,True
Primary color,1,1,1,1,1,1,1.0,True
Nyquist ISI criterion,7,7,7,7,7,7,1.0,True
Joint entropy,13,13,13,13,13,13,1.0,True
Learning development,18,18,18,18,18,18,1.0,True
Transition metal,4,4,4,4,4,4,1.0,True
P-site,14,2,2,2,2,2,0.8,True
Electron mobility,16,16,16,16,16,16,1.0,True
Druggability,4,14,14,14,14,14,0.8,True
Alternative asset,3,3,6,6,3,3,0.6,True
Conglomerate,3,10,3,3,3,3,0.8,True
